	S1_1	S1_2	S5_1	S5_2	log2FC	mean
RLTR6_FL189	0.06504670963348712	0.018899928047960878	0.49137000500961064	0.46543111100646795	0.8522033967243547	0.3785902300843763
MMVL30_FL84	2.8522239711812336	2.909436189205073	5.860245522343552	5.34283891581148	0.8517964342695311	3.5633082065621737
MMVL30_FL102	0.23121805511128843	0.33017877462780737	0.94272097339789	0.8586886253747494	0.8433156921434628	0.6412244241310396
MMVL30_FL53	0.05355277454243856	0.2930163018780263	0.8015551430540451	0.6106344536050553	0.8410550674250522	0.5199627481009235
MMVL30_FL68	2.8732756083212214	2.750638266229319	5.591850422394143	5.02430064469039	0.8103763008349383	3.410088248494003
MMVL30_FL87	0.20920756325927348	0.2955087358411608	0.8290636809679762	0.790767374590907	0.7999822747378569	0.5849059258794349
MMVL30_FL67	0.5793417530004368	0.5763500772054301	1.1124246683987704	1.6130970442773929	0.7892915206600236	0.9341010127084107
MMVL30_FL19	0.23433962678038933	0.2213023001476248	0.7002765047503574	0.7663937115063102	0.760909335181374	0.5366442956732111
RLTR6_FL278	0.5682877392070728	0.2926787891824821	0.9429565556580629	1.1523838145847038	0.7340459528817991	0.7380705703028243
MMVL30_FL97	0.5682877392070728	0.2926787891824821	0.9429565556580629	1.1523838145847038	0.7340459528817991	0.7380705703028243
RLTR6_FL154	2.731411863082722	3.312823926427387	5.701698198574118	4.892915595967978	0.7189396600253464	3.47155784881551
MMVL30_FL73	2.731411863082722	3.312823926427387	5.701698198574118	4.892915595967978	0.7189396600253464	3.47155784881551
MMVL30_FL80	0.8871954214060264	0.5696689645575489	1.565421025230551	1.4425363140562533	0.706048926567553	1.0341741303635865
RLTR6_FL83	5.082797435706094	4.994621281089132	8.175314689431504	8.892549496246842	0.7058042335916384	5.570217427213043
MMVL30_FL41	5.082797435706094	4.994621281089132	8.175314689431504	8.892549496246842	0.7058042335916384	5.570217427213043
RLTR6_FL19	5.558550075483709	5.212848297434184	8.660802873025576	9.41298138471076	0.6963053899319316	5.908297604117232
MMVL30_FL7	5.558550075483709	5.212848297434184	8.660802873025576	9.41298138471076	0.6963053899319316	5.908297604117232
MMVL30_FL54	3.203186951827491	3.449548995924261	5.532748816056278	5.796956456342541	0.6880907877068543	3.7341064015714855
MMVL30_FL71	2.914878749451958	3.553807360868041	5.297520000006144	5.711880388449018	0.685237749376282	3.632664849630289
RLTR6_FL152	2.914878749451958	3.553807360868041	5.297520000006144	5.711880388449018	0.685237749376282	3.632664849630289
MMVL30_FL25	0.9914234205724086	0.8508689851224457	1.493569478526589	2.02696573028424	0.6694386087096226	1.2064532446430611
RLTR6_FL51	0.9914234205724086	0.8508689851224457	1.493569478526589	2.02696573028424	0.6694386087096226	1.2064532446430611
RLTR6_FL147	2.770204148511282	3.212644884641459	4.921635152413815	5.108276977124861	0.659533610067427	3.3344589545517693
MMVL30_FL70	2.770204148511282	3.212644884641459	4.921635152413815	5.108276977124861	0.659533610067427	3.3344589545517693
MMVL30_FL8	49.21966964692249	48.87842915540455	77.52923572334959	76.00839525408047	0.6410289024113871	50.45535173643369
MMVL30_FL58	0.21858552723463354	0.2369142409634346	0.5647279748162067	0.7000818066483565	0.6378752755130572	0.47163696503513763
RLTR6_FL279	0.4615396125869856	0.39015297057659365	0.7637829669272702	1.096053661331946	0.6270881304447611	0.6677234683735114
MMVL30_FL98	0.4615396125869856	0.39015297057659365	0.7637829669272702	1.096053661331946	0.6270881304447611	0.6677234683735114
MMVL30_FL35	6.578132993459222	6.370384739440728	9.860475303530256	10.617870656826588	0.6227710768490555	6.8099269540211695
RLTR6_FL71	6.578132993459222	6.370384739440728	9.860475303530256	10.617870656826588	0.6227710768490555	6.8099269540211695
RLTR6_FL155	3.3375226324019223	4.154726665760765	6.0858546116484735	5.965099583984563	0.6199366618676742	4.032628031132679
MMVL30_FL74	3.3375226324019223	4.154726665760765	6.0858546116484735	5.965099583984563	0.6199366618676742	4.032628031132679
RLTR6_FL85	5.9535359117349875	5.762962318393549	8.965346436660383	9.53647945599849	0.6169077579227429	6.16704637614203
MMVL30_FL42	5.9535359117349875	5.762962318393549	8.965346436660383	9.53647945599849	0.6169077579227429	6.16704637614203
MMVL30_FL83	5.540622659377193	5.347840753709697	9.048247473231875	8.168313668947127	0.6156883795557446	5.744142586964328
RLTR6_FL185	5.540622659377193	5.347840753709697	9.048247473231875	8.168313668947127	0.6156883795557446	5.744142586964328
MMVL30_FL5	3.1417841656806185	2.464508293739442	4.313647967821054	4.803093517596399	0.6148319412971441	3.0675731772269317
RLTR6_FL6	3.1417841656806185	2.464508293739442	4.313647967821054	4.803093517596399	0.6148319412971441	3.0675731772269317
MMVL30_FL79	0.4477185221689149	0.7152214302338878	1.0877125133177263	1.210391719089962	0.6086433803283999	0.8139375130277783
MMVL30_FL6	3.1866746587505053	2.850475643662465	4.254950097998414	5.364463824059596	0.593640914876116	3.250041027869419
RLTR6_FL15	3.1866746587505053	2.850475643662465	4.254950097998414	5.364463824059596	0.593640914876116	3.250041027869419
MMVL30_FL36	1.8733069432719651	1.8844368497043802	3.4358291455742775	2.6550805920287166	0.5756931478367644	2.084869335683221
RLTR6_FL76	1.8733069432719651	1.8844368497043802	3.4358291455742775	2.6550805920287166	0.5756931478367644	2.084869335683221
MMVL30_FL86	0.1798594984792345	0.19007842937499791	0.516203958766586	0.5239402688180149	0.5745606209545142	0.39692855527866955
